planet_name,planet_alternate_name,planet_name_key,type,planetary_body_type,type_body,star_system,level,gravity,o2,condition,ok for 0 hab skill,temperature,atmosphere,magnetosphere,water,planet_resources,planet_resources_count,fauna,flora,biomes_cleaned,biomes_simple,traits_cleaned,criteria_match,water_simple,temperature_intensity,pressure_intensity,atmosphere_intensity,gravity_intensity,resources_matched,bodytype_for_predictor_algorithm,temp_for_predictor_algorithm,atmotype_for_predictor_algorithm,mag_for_predictor_algorithm,water_for_predictor_algorithm,fauna_predictor_algorithm,flora_predictor_algorithm,fauna_result,flora_result
Kang VII-c,,KangVIIc,Rock,Moon,Rock Moon,Kang,60,0.50,,,,Temperate,Thin M,None,Safe,"Cu,F,H20,Ni,Pb,U,xF4",7,Unknown,Unknown,"Archipelago,Desert-Sandy,Hills,Mountains,Ocean,Polar-Ice,SavannahBarren","Coastal,Desert,Hills,Mountains,Ocean,Ice,Savannah",Unknown,79.2%,Yes,0,0,3,0,1,4,4,5,1,6,1,1,1*,1*
Kang VII-d,,KangVIId,Ice,Moon,Ice Moon,Kang,60,0.16,,,,Deep freeze,None,None,Safe,"Co,H20,Ni",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,6,0,0,0*,0*
Kang VIII,,KangVIII,Ice giant,Planet,Ice giant Planet,Kang,60,1.64,,,,Deep freeze,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,3,1,0,0,0*,0*
Kang VIII-a,,KangVIIIa,Barren,Moon,Barren Moon,Kang,60,0.39,,,,Deep freeze,None,None,None,"Al,Be,He-3,Nd",4,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,1,1,0,0,0*,0*
Kang VIII-b,,KangVIIIb,Ice,Moon,Ice Moon,Kang,60,0.16,,,,Deep freeze,None,None,Safe,"H20,Ni",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,6,0,0,0*,0*
Kang VIII-c,,KangVIIIc,Rock,Moon,Rock Moon,Kang,60,0.72,,,,Deep freeze,None,Very weak,Safe,"Cl,Cu,Fe,H20,HnCn,SiH3Cl,Yb",7,Unknown,Unknown,"Forest,Mountains,Ocean,Polar-Ice","Forest,Mountains,Ocean,Ice",Unknown,62.5%,Yes,1,0,0,0,1,4,1,1,2,6,0,0,0*,0*
Kang VIII-d,,KangVIIId,Ice,Moon,Ice Moon,Kang,60,0.10,,,,Deep freeze,None,None,Chemical,"Ag,H20,Pb",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Kapteyn I,,KapteynI,Barren,Planet,Barren Planet,Kapteyn's Star,10,1.92,,,,Cold,None,None,None,"Al,H20,He-3,Ni,Pb,Pt,U,V",8,Unknown,Unknown,Unknown,Unknown,Unknown,37.5%,No,0,0,0,0,3,3,3,1,1,1,0,0,0*,0*
Kapteyn II,,KapteynII,Gas giant,Planet,Gas giant Planet,Kapteyn's Star,10,0.94,,,,Frozen,H2,None,None,,0,Unknown,Unknown,Unknown,Unknown,Unknown,37.5%,No,0,0,0,0,0,2,2,3,1,1,0,0,0*,0*
Katydid I,,KatydidI,Hot gas giant,Planet,Hot gas giant Planet,Katydid,75,1.89,,,,Temperate,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,54.2%,No,0,0,0,0,0,2,4,3,5,1,1,0,1*,0*
Katydid I-a,Katydid III-a,KatydidIa,Rock,Moon,Rock Moon,Katydid,75,0.48,,,,Temperate,Thin M,Average,Safe,"Cl,Fe,H20,He-3,HnCn,SiH3Cl,U,Yb",8,Unknown,Unknown,Unknown,Unknown,Unknown,62.5%,Yes,0,0,3,0,2,4,4,5,4,6,4,3,4*,3*
Katydid I-b,Katydid III-b,KatydidIb,Ice,Moon,Ice Moon,Katydid,75,0.02,,,,Temperate,None,Average,None,"Ar,C6Hn,H20,R-COC",4,Unknown,Unknown,Unknown,Unknown,Unknown,54.2%,No,0,0,0,0,0,3,4,1,4,1,-1,-1,0*,0*
Katydid II,,KatydidII,Rock,Planet,Rock Planet,Katydid,75,0.91,,,,Frozen,Std M,Very strong,Safe,"Ag,Cl,H20,Pb",4,Unknown,Unknown,"Desert-Rocky,Mountains,Polar-Ice","Desert,Mountains,Ice",Unknown,62.5%,Yes,0,0,3,0,0,4,2,5,6,6,0,0,0*,0*
Katydid III,,KatydidIII,Rock,Planet,Rock Planet,Katydid,75,1.14,,,,Frozen,Std N2,Average,Chemical,"Ag,Al,Be,Cu,Fe,H20,Ie,Pb",8,None,None,"Desert-Rocky,Hills,Polar-Ice,SavannahBarren","Desert,Hills,Ice,Savannah","Energetic Rifting, Active Faulting",41.7%,Yes,0,0,0,0,2,4,2,2,4,3,0,0,0,0
Khayyam I,,KhayyamI,Barren,Planet,Barren Planet,Khayyam,45,1.24,,,,Inferno,High CO2,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,2,3,0,2,3,7,4,1,1,0,0,0*,0*
Khayyam I-a,,KhayyamIa,Barren,Moon,Barren Moon,Khayyam,45,0.07,,,,Inferno,None,None,None,,0,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,0,3,7,1,1,1,0,0,0*,0*
Khayyam II,,KhayyamII,Rock,Planet,Rock Planet,Khayyam,45,1.05,,,,Temperate,Std O2,Powerful,Chemical,"Ar,Cl,H20,Ir,Pu,SiH3Cl,U,Xe",8,Unknown,Unknown,"Archipelago,Forest,Ocean,Polar-Ice","Coastal,Forest,Ocean,Ice",Unknown,79.2%,Yes,0,0,0,0,0,4,4,6,7,3,4,3,4*,3*
Khayyam II-a,,KhayyamIIa,Barren,Moon,Barren Moon,Khayyam,45,0.15,,,,Temperate,None,None,None,"Al,Be,Eu,He-3",4,Unknown,Unknown,Cratered,Cratered,Unknown,54.2%,No,0,0,0,0,2,3,4,1,1,1,0,0,0*,0*
Khayyam III,,KhayyamIII,Rock,Planet,Rock Planet,Khayyam,45,0.58,,,,Cold,Thin O2,Average,Safe,"Au,Cl,Cu,Fe,H20,HnCn,Pb,SiH3Cl",8,Unknown,Unknown,"Desert-Sandy,Mountains,Polar-Ice,SavannahBarren","Desert,Mountains,Ice,Savannah",Unknown,79.2%,Yes,0,0,0,0,1,4,3,6,4,6,6,5,6*,5*
Khayyam III-a,,KhayyamIIIa,Barren,Moon,Barren Moon,Khayyam,45,0.09,,,,Cold,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Khayyam III-b,,KhayyamIIIb,Barren,Moon,Barren Moon,Khayyam,45,0.07,,,,Cold,None,None,None,"Fe,He-3,HnCn,Yb",4,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Khayyam III-c,,KhayyamIIIc,Barren,Moon,Barren Moon,Khayyam,45,0.11,,,,Cold,None,None,None,"Al,Eu,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Khayyam IV,,KhayyamIV,Rock,Planet,Rock Planet,Khayyam,45,0.61,,,,Frozen,Std N2,Weak,Safe,"Cu,Fe,H20,HnCn,Pb,Ta,Ti,W",8,Unknown,Unknown,"Desert-Rocky,Hills,Mountains,Polar-Ice","Desert,Hills,Mountains,Ice",Unknown,62.5%,Yes,0,0,0,0,2,4,2,2,3,6,0,0,0*,0*
Khayyam IV-a,,KhayyamIVa,Barren,Moon,Barren Moon,Khayyam,45,0.09,,,,Frozen,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,1,1,0,0,0*,0*
Khayyam V,,KhayyamV,Ice giant,Planet,Ice giant Planet,Khayyam,45,1.33,,,,Deep freeze,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,3,1,0,0,0*,0*
Khayyam V-a,,KhayyamVa,Ice,Moon,Ice Moon,Khayyam,45,0.22,,,,Deep freeze,None,None,Heavy metal,"H20,Ni",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,2,0,0,0*,0*
Khayyam VI,,KhayyamVI,Gas giant,Planet,Gas giant Planet,Khayyam,45,2.41,,,,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,5,1,0,0,0*,0*
Khayyam VI-a,,KhayyamVIa,Ice,Moon,Ice Moon,Khayyam,45,0.35,,,,Deep freeze,None,None,Chemical,"Co,H20,Ni",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0*,0*
Khayyam VI-b,,KhayyamVIb,Ice,Moon,Ice Moon,Khayyam,45,0.25,,,,Deep freeze,None,None,Chemical,"H20,Pb,W",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0*,0*
Khayyam VI-c,,KhayyamVIc,Ice,Moon,Ice Moon,Khayyam,45,0.05,,,,Deep freeze,None,None,Chemical,"Ar,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Khayyam VI-d,,KhayyamVId,Ice,Moon,Ice Moon,Khayyam,45,0.07,,,,Deep freeze,None,None,Chemical,"Ar,C6Hn,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Khayyam VI-e,,KhayyamVIe,Ice,Moon,Ice Moon,Khayyam,45,0.04,,,,Deep freeze,None,None,Chemical,"Cu,H20,IL,xF4",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Boron,,Boron,Barren,Moon,Barren Moon,Kryx,20,0.26,,,,Frozen,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,1,1,0,0,0*,0*
Candore,,Candore,Barren,Moon,Barren Moon,Kryx,20,0.08,,,,Frozen,None,None,None,"Al,Be,He-3,Nd",4,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,1,1,0,0,0*,0*
Ice,,Ice,Ice,Moon,Ice Moon,Kryx,20,0.04,,,,Frozen,None,None,Chemical,"Ar,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,3,0,0,0*,0*
Max,,Max,Rock,Moon,Rock Moon,Kryx,20,0.66,,,,Temperate,Std O2,None,None,"Cl,H20,Li,Ni,Pb,SiH3Cl,U",7,Unknown,Unknown,Unknown,Unknown,Unknown,70.8%,No,0,0,0,0,1,4,4,6,1,1,3,3,3*,3*
Neebas,,Neebas,Rock,Moon,Rock Moon,Kryx,20,0.61,,,,Frozen,Std O2,Weak,Biological,"Au,Co,Cu,Fe,H20,Ni,Pu,U",8,Primordial (4),None,"Desert-Rocky,Hills,Mountains,Ocean,Polar-Ice,SavannahBarren","Desert,Hills,Mountains,Ocean,Ice,Savannah",Energetic Rifting,83.3%,Yes,0,0,0,0,2,4,2,6,3,5,0,0,4,0
Nox,,Nox,Barren,Moon,Barren Moon,Kryx,20,0.06,,,,Frozen,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,1,1,0,0,0*,0*
Rocklock,,Rocklock,Barren,Moon,Barren Moon,Kryx,20,0.26,,,,Frozen,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,1,1,0,0,0*,0*
Suvorov,Oymyakon,Suvorov,Rock,Planet,Rock Planet,Kryx,20,1.04,,,,Frozen,Std O2,Powerful,Chemical,"Cu,F,H20",3,Marginal (3),Primordial (1),"Desert-Rocky,Polar-Ice,SavannahBarren","Desert,Ice,Savannah",CHECK,66.7%,Yes,0,0,0,0,0,4,2,6,7,3,0,0,3,1
Kumasi I,,KumasiI,Rock,Planet,Rock Planet,Kumasi,25,1.69,,,,Temperate,High O2,Very strong,Heavy metal,"Ar,Cl,H20,Ne,Pb",5,Moderate (9),Marginal (4),"Archipelago,Forest,Ocean,Polar-Ice,Wetlands","Coastal,Forest,Ocean,Ice,Wetlands",Gravitational Anomaly +2,83.3%,Yes,0,2,0,0,0,4,4,6,6,2,3,3,9,4
Kumasi I-a,,KumasiIa,Barren,Moon,Barren Moon,Kumasi,25,0.32,,,,Temperate,None,None,None,"Fe,He-3,Ta",3,Unknown,Unknown,Cratered,Cratered,Unknown,54.2%,No,0,0,0,0,2,3,4,1,1,1,0,0,0*,0*
Kumasi II,,KumasiII,Rock,Planet,Rock Planet,Kumasi,25,0.96,,,,Temperate,Std O2,Very weak,Biological,"Co,H20,Ir,Ni,Pd,Pt,Pu,U",8,Unknown,Unknown,"Desert-Rocky,Hills,Mountains,Ocean,Polar-Ice","Desert,Hills,Mountains,Ocean,Ice",Unknown,95.8%,Yes,0,0,0,0,1,4,4,6,2,5,3,2,3*,2*
Kumasi II-a,,KumasiIIa,Barren,Moon,Barren Moon,Kumasi,25,0.08,,,,Temperate,None,None,None,,0,Unknown,Unknown,Cratered,Cratered,Unknown,54.2%,No,0,0,0,0,0,3,4,1,1,1,0,0,0*,0*
Kumasi III,,KumasiIII,Rock,Planet,Rock Planet,Kumasi,25,0.57,,,,Cold,Thin M,Average,Chemical,"Ar,Cl,Co,H20,Ni",5,Unknown,Unknown,"Forest,Hills,Ocean,Polar-Ice,SavannahBarren","Forest,Hills,Ocean,Ice,Savannah",Unknown,45.8%,Yes,0,0,3,0,1,4,3,5,4,3,3,3,3*,3*
Kumasi III-a,,KumasiIIIa,Barren,Moon,Barren Moon,Kumasi,25,0.05,,,,Cold,None,None,None,,0,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,0,3,3,1,1,1,0,0,0*,0*
Kumasi IV,,KumasiIV,Rock,Planet,Rock Planet,Kumasi,25,1.51,,,,Frozen,High N2,Average,Safe,"Co,Cu,Dy,H20,Ni,Pb",6,Unknown,Unknown,"Desert-Rocky,Polar-Ice,SavannahBarren,Snowfield","Desert,Ice,Savannah,Snowfield",Unknown,45.8%,Yes,0,2,0,0,1,4,2,2,4,6,0,0,0*,0*
Kumasi IV-a,,KumasiIVa,Barren,Moon,Barren Moon,Kumasi,25,0.27,,,,Frozen,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,1,1,0,0,0*,0*
Kumasi IX,,KumasiIX,Ice,Planet,Ice Planet,Kumasi,25,0.15,,,,Deep freeze,None,None,Chemical,"Cl,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Kumasi IX-a,,KumasiIXa,Ice,Moon,Ice Moon,Kumasi,25,0.07,,,,Deep freeze,None,None,Chemical,"Cl,H20,Xe",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Kumasi V,,KumasiV,Gas giant,Planet,Gas giant Planet,Kumasi,25,3.15,,,,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,5,1,0,0,0*,0*
Kumasi V-a,,KumasiVa,Ice,Moon,Ice Moon,Kumasi,25,0.26,,,,Deep freeze,None,None,Safe,"Au,Cu,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Kumasi V-b,,KumasiVb,Ice,Moon,Ice Moon,Kumasi,25,0.17,,,,Deep freeze,None,None,Safe,"Cl,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Kumasi V-c,,KumasiVc,Ice,Moon,Ice Moon,Kumasi,25,0.04,,,,Deep freeze,None,None,Safe,"H20,Ni",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,6,0,0,0*,0*
Kumasi V-d,,KumasiVd,Ice,Moon,Ice Moon,Kumasi,25,0.06,,,,Deep freeze,None,None,Chemical,"H20,Ni",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0*,0*
Kumasi V-e,,KumasiVe,Ice,Moon,Ice Moon,Kumasi,25,0.08,,,,Deep freeze,None,None,None,"Co,H20,Ni",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,37.5%,No,1,0,0,0,1,3,1,1,1,1,0,0,0*,0*
Kumasi VI,,KumasiVI,Rock,Planet,Rock Planet,Kumasi,25,1.56,,,,Deep freeze,None,Average,None,"Cl,Cs,Fe,H20,HnCn,Ir,U",7,Unknown,Unknown,"Hills,Ocean,Polar-Ice,SavannahBarren","Hills,Ocean,Ice,Savannah",Unknown,37.5%,No,1,0,0,0,1,4,1,1,4,1,0,0,0*,0*
Kumasi VI-a,,KumasiVIa,Ice,Moon,Ice Moon,Kumasi,25,0.06,,,,Deep freeze,None,None,Chemical,"Cu,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Kumasi VII,,KumasiVII,Gas giant,Planet,Gas giant Planet,Kumasi,25,1.77,,,,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,8,1,0,0,0*,0*
Kumasi VII-a,,KumasiVIIa,Barren,Moon,Barren Moon,Kumasi,25,0.31,,,,Deep freeze,None,None,None,"Al,Eu,He-3,Nd",4,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,1,1,0,0,0*,0*
Kumasi VII-b,,KumasiVIIb,Ice,Moon,Ice Moon,Kumasi,25,0.08,,,,Deep freeze,None,None,Chemical,"Cu,F,H20,IL,xF4",5,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Kumasi VII-c,,KumasiVIIc,Barren,Moon,Barren Moon,Kumasi,25,0.29,,,,Deep freeze,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,1,1,0,0,0*,0*
Kumasi VII-d,,KumasiVIId,Ice,Moon,Ice Moon,Kumasi,25,0.13,,,,Deep freeze,None,None,Chemical,"Cu,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Kumasi VIII,,KumasiVIII,Gas giant,Planet,Gas giant Planet,Kumasi,25,2.47,,,,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,5,1,0,0,0*,0*
Kumasi VIII-a,,KumasiVIIIa,Rock,Moon,Rock Moon,Kumasi,25,0.31,,,,Deep freeze,None,None,Safe,"Ar,C6Hn,Fe,H20,He-3,Ne",6,Unknown,Unknown,"Cratered,Polar-Ice","Cratered,Ice",Unknown,45.8%,Yes,1,0,0,0,2,4,1,1,1,6,0,0,0*,0*
Kumasi VIII-b,,KumasiVIIIb,Rock,Moon,Rock Moon,Kumasi,25,0.42,,,,Deep freeze,None,None,None,"H20,Pb",2,Unknown,Unknown,"Desert-Rocky,Ocean","Desert,Ocean",Unknown,37.5%,No,1,0,0,0,0,4,1,1,1,1,0,0,0*,0*
Kumasi VIII-c,,KumasiVIIIc,Ice,Moon,Ice Moon,Kumasi,25,0.04,,,,Deep freeze,None,None,Chemical,"Cu,F,H20,IL",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Kumasi VIII-d,,KumasiVIIId,Rock,Moon,Rock Moon,Kumasi,25,0.44,,,,Deep freeze,None,None,None,"Cl,Co,Cu,F,H20,Ni,Pb,SiH3Cl",8,Unknown,Unknown,"Hills,Mountains,Ocean,Polar-Ice,SavannahBarren","Hills,Mountains,Ocean,Ice,Savannah",Unknown,54.2%,No,1,0,0,0,1,4,1,1,1,1,0,0,0*,0*
Lantana I,,LantanaI,Barren,Planet,Barren Planet,Lantana,30,0.22,,,,Inferno,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Lantana II,,LantanaII,Rock,Planet,Rock Planet,Lantana,30,0.66,,,,Inferno,Std CO2,Weak,None,"Ni,Pb,U,W",4,Unknown,Unknown,"Desert-Rocky,Tablelands,Volcanic","Desert,Tablelands,Volcanic",Unknown,37.5%,No,1,0,3,0,2,4,7,4,3,1,0,0,0*,0*
Lantana III,,LantanaIII,Rock,Planet,Rock Planet,Lantana,30,0.90,,,,Temperate,Std O2,Powerful,Heavy metal,"Cl,Cu,Fe,H20,Ni,SiH3Cl",6,Unknown,Unknown,"Desert-Sandy,Forest,Hills,Mountains,Ocean,Polar-Ice,SavannahBarren","Desert,Forest,Hills,Mountains,Ocean,Ice,Savannah",Biological,95.8%,Yes,0,0,0,0,2,4,4,6,7,2,3,3,3*,3*
Lantana III-a,,LantanaIIIa,Barren,Moon,Barren Moon,Lantana,30,0.09,,,,Temperate,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,54.2%,No,0,0,0,0,2,3,4,1,1,1,0,0,0*,0*
Lantana IV,,LantanaIV,Rock,Planet,Rock Planet,Lantana,30,1.11,,,,Temperate,Std O2,Powerful,Biological,"Co,Cu,F,H20,Ni",5,Unknown,Unknown,"Forest,Ocean,Polar-Ice","Forest,Ocean,Ice",Unknown,79.2%,Yes,0,0,0,0,1,4,4,6,7,5,6,5,6*,5*
Lantana IX,,LantanaIX,Gas giant,Planet,Gas giant Planet,Lantana,30,2.98,,,,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,5,1,0,0,0*,0*
Lantana IX-a,,LantanaIXa,Ice,Moon,Ice Moon,Lantana,30,0.14,,,,Deep freeze,None,None,Safe,"Cl,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Lantana IX-b,,LantanaIXb,Ice,Moon,Ice Moon,Lantana,30,0.25,,,,Deep freeze,None,None,Heavy metal,"Ag,H20,Hg,Pb",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,2,0,0,0*,0*
Lantana IX-c,,LantanaIXc,Ice,Moon,Ice Moon,Lantana,30,0.10,,,,Deep freeze,None,None,Safe,"Co,H20,Ni",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,6,0,0,0*,0*
Lantana IX-d,,LantanaIXd,Ice,Moon,Ice Moon,Lantana,30,0.07,,,,Deep freeze,None,None,Chemical,"H20,Ni",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0*,0*
Lantana IX-e,,LantanaIXe,Rock,Moon,Rock Moon,Lantana,30,0.47,,,,Cold,Thin M,None,Safe,"Cl,Cu,Fe,H20,HnCn,Pb,Ta",7,Unknown,Unknown,"Forest,Mountains,Ocean,Polar-Ice,SavannahBarren","Forest,Mountains,Ocean,Ice,Savannah",Unknown,62.5%,Yes,0,0,3,0,1,4,3,5,1,6,3,2,3*,2*
Lantana V,,LantanaV,Gas giant,Planet,Gas giant Planet,Lantana,30,3.83,,,,Frozen,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,0,0,0,4,0,2,2,3,8,1,0,0,0*,0*
Lantana V-a,,LantanaVa,Ice,Moon,Ice Moon,Lantana,30,0.03,,,,Frozen,None,None,Chemical,"Ar,C6Hn,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,3,0,0,0*,0*
Lantana V-b,,LantanaVb,Ice,Moon,Ice Moon,Lantana,30,0.01,,,,Frozen,None,None,Safe,"Cu,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,6,0,0,0*,0*
Lantana VI,,LantanaVI,Rock,Planet,Rock Planet,Lantana,30,0.90,,,,Frozen,Std N2,Weak,Safe,"Cl,Co,Fe,H20,HnCn,Ni,U,V",8,Unknown,Unknown,"Desert-Rocky,Mountains,Polar-Ice,SavannahBarren","Desert,Mountains,Ice,Savannah",Unknown,62.5%,Yes,0,0,0,0,2,4,2,2,3,6,0,0,0*,0*
Lantana VII,,LantanaVII,Rock,Planet,Rock Planet,Lantana,30,0.45,,,,Frozen,Std N2,Very weak,None,"Ag,Au,Cl,Cu,He-3,Pb",6,Unknown,Unknown,"Desert-Rocky,SavannahBarren","Desert,Savannah",Unknown,37.5%,No,0,0,0,0,1,4,2,2,2,1,0,0,0*,0*
Lantana VIII,,LantanaVIII,Ice giant,Planet,Ice giant Planet,Lantana,30,1.81,,,,Deep freeze,H2,Average,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,4,1,0,0,0*,0*
Lantana VIII-a,,LantanaVIIIa,Ice,Moon,Ice Moon,Lantana,30,0.27,,,,Deep freeze,None,None,Chemical,"Cu,H20,xF4",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Lantana VIII-b,,LantanaVIIIb,Rock,Moon,Rock Moon,Lantana,30,0.48,,,,Cold,Thin O2,Weak,Biological,"Co,H20,Ir,Ni,Pb,Pt,Pu,U",8,Unknown,Unknown,"Cratered,Desert-Rocky,Desert-Sandy,Hills,Mountains,Ocean,Polar-Ice","Cratered,Desert,Hills,Mountains,Ocean,Ice",Unknown,79.2%,Yes,0,0,0,0,1,4,3,6,3,5,5,4,5*,4*
Lantana VIII-c,,LantanaVIIIc,Rock,Moon,Rock Moon,Lantana,30,0.36,,,,Frozen,Thin O2,None,None,"Cl,Fe,H20,He-3,Ni,Pb,SiH3Cl",7,Unknown,Unknown,"Cratered,Desert-Rocky,Hills,Polar-Ice","Cratered,Desert,Hills,Ice",Unknown,54.2%,No,0,0,0,0,3,4,2,6,1,1,0,0,0*,0*
Lantana VIII-d,,LantanaVIIId,Rock,Moon,Rock Moon,Lantana,30,0.35,,,,Frozen,Thin CO2,None,Safe,"Cl,Co,H20,He-3,Ni,Pd,Pt",7,Unknown,Unknown,"Desert-Rocky,Hills,Polar-Ice,SavannahBarren","Desert,Hills,Ice,Savannah",Unknown,45.8%,Yes,0,0,3,0,2,4,2,4,1,6,0,0,0*,0*
